produto_codigo,produto_nome,item,quantidade,unidade,valor_unitario,valor_total,observacoes
CHA001,Blend Alegria Sache individual,Erva cidreira,X,g,,,definir proporcao do blend
CHA001,Blend Alegria Sache individual,Laranjeira,X,g,,,definir proporcao do blend
CHA001,Blend Alegria Sache individual,Cavalinha,X,g,,,definir proporcao do blend
CHA001,Blend Alegria Sache individual,Calendula,X,g,,,definir proporcao do blend
CHA001,Blend Alegria Sache individual,Receita base Blend Alegria,2,g,,,custo proporcional pela receita base
CHA001,Blend Alegria Sache individual,Sache individual,1,un,,,
CHA002,Blend Alegria Caixa 4 saches,Erva cidreira,X,g,,,definir proporcao do blend
CHA002,Blend Alegria Caixa 4 saches,Laranjeira,X,g,,,definir proporcao do blend
CHA002,Blend Alegria Caixa 4 saches,Cavalinha,X,g,,,definir proporcao do blend
CHA002,Blend Alegria Caixa 4 saches,Calendula,X,g,,,definir proporcao do blend
CHA002,Blend Alegria Caixa 4 saches,Receita base Blend Alegria,8,g,,,custo proporcional pela receita base
CHA002,Blend Alegria Caixa 4 saches,Sache individual,4,un,,,
CHA002,Blend Alegria Caixa 4 saches,Caixa,1,un,,,
CHA003,Blend Alegria Kraft 20g,Erva cidreira,X,g,,,definir proporcao do blend
CHA003,Blend Alegria Kraft 20g,Laranjeira,X,g,,,definir proporcao do blend
CHA003,Blend Alegria Kraft 20g,Cavalinha,X,g,,,definir proporcao do blend
CHA003,Blend Alegria Kraft 20g,Calendula,X,g,,,definir proporcao do blend
CHA003,Blend Alegria Kraft 20g,Receita base Blend Alegria,20,g,,,custo proporcional pela receita base
CHA003,Blend Alegria Kraft 20g,Embalagem kraft,1,un,,,
CHA004,Blend Alegria Tubo 20g,Erva cidreira,X,g,,,definir proporcao do blend
CHA004,Blend Alegria Tubo 20g,Laranjeira,X,g,,,definir proporcao do blend
CHA004,Blend Alegria Tubo 20g,Cavalinha,X,g,,,definir proporcao do blend
CHA004,Blend Alegria Tubo 20g,Calendula,X,g,,,definir proporcao do blend
CHA004,Blend Alegria Tubo 20g,Receita base Blend Alegria,20,g,,,custo proporcional pela receita base
CHA004,Blend Alegria Tubo 20g,Tubo lata preta,1,un,,,
CHA005,Blend Vivencie Sache individual,Cidreira,X,g,,,definir proporcao do blend
CHA005,Blend Vivencie Sache individual,Gengibre,X,g,,,definir proporcao do blend
CHA005,Blend Vivencie Sache individual,Alecrim,X,g,,,definir proporcao do blend
CHA005,Blend Vivencie Sache individual,Laranja,X,g,,,definir proporcao do blend
CHA005,Blend Vivencie Sache individual,Receita base Blend Vivencie,2,g,,,custo proporcional pela receita base
CHA005,Blend Vivencie Sache individual,Sache individual,1,un,,,
CHA006,Blend Vivencie Caixa 4 saches,Cidreira,X,g,,,definir proporcao do blend
CHA006,Blend Vivencie Caixa 4 saches,Gengibre,X,g,,,definir proporcao do blend
CHA006,Blend Vivencie Caixa 4 saches,Alecrim,X,g,,,definir proporcao do blend
CHA006,Blend Vivencie Caixa 4 saches,Laranja,X,g,,,definir proporcao do blend
CHA006,Blend Vivencie Caixa 4 saches,Receita base Blend Vivencie,8,g,,,custo proporcional pela receita base
CHA006,Blend Vivencie Caixa 4 saches,Sache individual,4,un,,,
CHA006,Blend Vivencie Caixa 4 saches,Caixa,1,un,,,
CHA007,Blend Vivencie Kraft 20g,Cidreira,X,g,,,definir proporcao do blend
CHA007,Blend Vivencie Kraft 20g,Gengibre,X,g,,,definir proporcao do blend
CHA007,Blend Vivencie Kraft 20g,Alecrim,X,g,,,definir proporcao do blend
CHA007,Blend Vivencie Kraft 20g,Laranja,X,g,,,definir proporcao do blend
CHA007,Blend Vivencie Kraft 20g,Receita base Blend Vivencie,20,g,,,custo proporcional pela receita base
CHA007,Blend Vivencie Kraft 20g,Embalagem kraft,1,un,,,
CHA008,Blend Vivencie Tubo 20g,Cidreira,X,g,,,definir proporcao do blend
