codigo,categoria,nome,apresentacao,peso_g,preco_venda,estoque,estoque_minimo,ativo,receita_base
CHA001,Chas,Blend Alegria,Sache individual,2,4.00,0,10,Sim,Blend Alegria
CHA002,Chas,Blend Alegria,Caixa 4 saches,8,15.00,0,10,Sim,Blend Alegria
CHA003,Chas,Blend Alegria,Kraft 20g,20,20.00,0,10,Sim,Blend Alegria
CHA004,Chas,Blend Alegria,Tubo 20g,20,25.00,0,10,Sim,Blend Alegria
CHA005,Chas,Blend Vivencie,Sache individual,2,4.00,0,10,Sim,Blend Vivencie
CHA006,Chas,Blend Vivencie,Caixa 4 saches,8,15.00,0,10,Sim,Blend Vivencie
CHA007,Chas,Blend Vivencie,Kraft 20g,20,20.00,0,10,Sim,Blend Vivencie
CHA008,Chas,Blend Vivencie,Tubo 20g,20,25.00,0,10,Sim,Blend Vivencie
CHA009,Chas,Blend Acalme,Sache individual,2,4.00,0,10,Sim,Blend Acalme
CHA010,Chas,Blend Acalme,Caixa 4 saches,8,15.00,0,10,Sim,Blend Acalme
CHA011,Chas,Blend Acalme,Kraft 20g,20,20.00,0,10,Sim,Blend Acalme
CHA012,Chas,Blend Acalme,Tubo 20g,20,25.00,0,10,Sim,Blend Acalme
CHA013,Chas,Blend Fluir,Sache individual,2,4.00,0,10,Sim,Blend Fluir
CHA014,Chas,Blend Fluir,Caixa 4 saches,8,15.00,0,10,Sim,Blend Fluir
CHA015,Chas,Blend Fluir,Kraft 20g,20,20.00,0,10,Sim,Blend Fluir
CHA016,Chas,Blend Fluir,Tubo 20g,20,25.00,0,10,Sim,Blend Fluir
CHA017,Chas,Blend Tropical,Sache individual,2,4.00,0,10,Sim,Blend Tropical
CHA018,Chas,Blend Tropical,Caixa 4 saches,8,15.00,0,10,Sim,Blend Tropical
CHA019,Chas,Blend Tropical,Kraft 20g,20,20.00,0,10,Sim,Blend Tropical
CHA020,Chas,Blend Tropical,Tubo 20g,20,25.00,0,10,Sim,Blend Tropical
MEX001,Mexedores,Colecao Botanica,Unidade,1,10.00,0,10,Sim,Mexedor Botanica
MEX002,Mexedores,Colecao Botanica,Kit degustacao 12 unidades,12,100.00,0,5,Sim,Mexedor Botanica Sortido
MEX003,Mexedores,Colecao Tropical,Unidade,1,10.00,0,10,Sim,Mexedor Tropical
MEX004,Mexedores,Colecao Tropical,Kit degustacao 12 unidades,12,100.00,0,5,Sim,Mexedor Tropical Sortido
FR001,Frutas Desidratadas,Banana,50g,50,10.00,0,10,Sim,Banana Desidratada
FR002,Frutas Desidratadas,Abacaxi,50g,50,20.00,0,10,Sim,Abacaxi Desidratado
